Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,Kontor,,
2,Page,,,,,,,,,,Metaprotocol Architecture,,
3,Database,Flowchart Shapes/Containers,2,,,,,,,,Blocks,,
4,Database,Flowchart Shapes/Containers,2,,,,,,,,Blocks,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Bitcoin Core,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Bitcoin Core,,
7,Database,Flowchart Shapes/Containers,2,,,,,,,,Bitcoin Core State,,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Miners,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Kontor Core,,
10,Database,Flowchart Shapes/Containers,2,,,,,,,,Kontor Core State,,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Kontor Core,,
12,Curly brace note,Flowchart Shapes/Containers,2,,,,,,,,Local,,
13,Curly brace note,Flowchart Shapes/Containers,2,,,,,,,,Network,,
14,Database,Flowchart Shapes/Containers,2,,,,,,,,Bitcoin Core State,,
15,Database,Flowchart Shapes/Containers,2,,,,,,,,Kontor Core State,,
16,Line,,2,,,6,11,None,Arrow,,Parsing,,
17,Line,,2,,,4,6,None,Arrow,,Parsing,,
18,Line,,2,,,3,5,None,Arrow,,Parsing,,
19,Line,,2,,,5,7,None,Arrow,,,,
20,Line,,2,,,6,14,None,Arrow,,,,
21,Line,,2,,,5,9,None,Arrow,,Parsing,,
22,Line,,2,,,9,10,None,Arrow,,,,
23,Line,,2,,,11,15,None,Arrow,,,,
24,Line,,2,,,5,8,None,Arrow,,,,
25,Line,,2,,,6,8,None,Arrow,,,,
26,Line,,2,,,8,4,None,Arrow,,,,
27,Line,,2,,,8,3,None,Arrow,,,,
28,Line,,2,,,9,8,None,None,,Transactions,,
29,Line,,2,,,11,8,None,Arrow,,,,
30,Page,,,,,,,,,,Metaprotocol Architecture (One-Side),,
31,Database,Flowchart Shapes/Containers,30,,,,,,,,Blocks,,
32,Process,Flowchart Shapes/Containers,30,,,,,,,,Bitcoin Core,,
33,Database,Flowchart Shapes/Containers,30,,,,,,,,Bitcoin Core State,,
34,Process,Flowchart Shapes/Containers,30,,,,,,,,Miners,,
35,Process,Flowchart Shapes/Containers,30,,,,,,,,Kontor Core,,
36,Database,Flowchart Shapes/Containers,30,,,,,,,,Kontor Core State,,
37,Curly brace note,Flowchart Shapes/Containers,30,,,,,,,,Local,,
38,Curly brace note,Flowchart Shapes/Containers,30,,,,,,,,Network,,
39,Line,,30,,,31,32,None,Arrow,,Parsing,,
40,Line,,30,,,32,33,None,Arrow,,,,
41,Line,,30,,,32,35,None,Arrow,,Parsing,,
42,Line,,30,,,35,36,None,Arrow,,,,
43,Line,,30,,,32,34,None,Arrow,,,,
44,Line,,30,,,34,31,None,Arrow,,,,
45,Line,,30,,,35,34,None,Arrow,,Transactions,,
46,Page,,,,,,,,,,Kontor Arch.,,
47,Process,Flowchart Shapes/Containers,46,,,,,,,,Data Storage Network,,
48,Process,Flowchart Shapes/Containers,46,,,,,,,,Nakamoto Consensus,,
49,Process,Flowchart Shapes/Containers,46,,,,,,,,UTXOs,,
50,Process,Flowchart Shapes/Containers,46,,,,,,,,Data Encoding,,
51,Process,Flowchart Shapes/Containers,46,,,,,,,,,,
52,Curly brace note,Flowchart Shapes/Containers,46,,,,,,,,Kontor Protocol,,
53,Curly brace note,Flowchart Shapes/Containers,46,,,,,,,,Bitcoin Protocol,,
54,Process,Flowchart Shapes/Containers,46,,,,,,,,Token Interface,,
55,Block,Standard,46,,,,,,,,Smart Contracts,,
56,Line,,46,,,51,50,Arrow,Arrow,,,,
57,Line,,46,,,49,48,Arrow,Arrow,,,,
58,Line,,46,,,50,49,Arrow,Arrow,,,,
59,Line,,46,,,54,49,Arrow,Arrow,,UTXO Binding,,
60,Line,,46,,,49,49,Arrow,Arrow,,Bitcoin Interoperability (Atomic Swaps),,
61,Line,,46,,,51,47,None,Arrow,,Pointer to Persistent Data Object,,
62,Line,,46,,,47,51,None,Arrow,,Data Availability Proofs,,
63,Line,,46,,,48,47,None,Arrow,,Data Availability Challenges,,
64,Page,,,,,,,,,,Atomic Swaps,,
65,Process,Flowchart Shapes/Containers,64,,,,,,,,Kontor,,
66,Process,Flowchart Shapes/Containers,64,,,,,,,,Counterparty,,
67,Process,Flowchart Shapes/Containers,64,,,,,,,,UTXO Land,,
68,Process,Flowchart Shapes/Containers,64,,,,,,,,DARTT,,
69,Process,Flowchart Shapes/Containers,64,,,,,,,,Ordinals,,
70,MinimalTextBlock,Standard,64,,,,,,,,Atomic Swaps,,
71,MinimalTextBlock,Standard,64,,,,,,,,Attach / Detach,,
72,MinimalTextBlock,Standard,64,,,,,,,,Smart Contracts,,
73,MinimalTextBlock,Standard,64,,,,,,,,Payments,,
74,MinimalTextBlock,Standard,64,,,,,,,,Metaprotocols,,
75,MinimalTextBlock,Standard,64,,,,,,,,Bitcoin,,
76,Process,Flowchart Shapes/Containers,64,,,,,,,,DARTT,,
77,Process,Flowchart Shapes/Containers,64,,,,,,,,XCP,,
78,Process,Flowchart Shapes/Containers,64,,,,,,,,XCP,,
79,Process,Flowchart Shapes/Containers,64,,,,,,,,KOR,,
80,Process,Flowchart Shapes/Containers,64,,,,,,,,Runes,,
81,Process,Flowchart Shapes/Containers,64,,,,,,,,BTC,,
82,Process,Flowchart Shapes/Containers,64,,,,,,,,KOR,,
83,Line,,64,,,68,76,Arrow,Arrow,,,,
84,Line,,64,,,77,78,Arrow,Arrow,,,,
85,Line,,64,,,78,80,Generalization,Generalization,,,,
86,Line,,64,,,76,69,Generalization,Generalization,,,,
87,Line,,64,,,79,82,None,Arrow,,,,
88,Line,,64,,,82,81,Generalization,Generalization,,,,
89,Page,,,,,,,,,,UL Synergy 1,,
90,Block,Standard,89,,,,,,,,Horizon Market,,
91,Block,Standard,89,,,,,,,,Horizon Wallet,,
92,Connector,Flowchart Shapes/Containers,89,,,,,,,,Counterparty,,
93,Connector,Flowchart Shapes/Containers,89,,,,,,,,Kontor,,
94,Connector,Flowchart Shapes/Containers,89,,,,,,,,Ordinals Runes Etc.,,
95,Line,,89,,,,91,None,Arrow,,Users,,
96,Line,,89,,,91,93,None,Arrow,,,Onboarding,
97,Line,,89,,,92,93,None,Arrow,,Airdrop,,
98,Line,,89,,,90,93,None,Arrow,,Atomic Swap for KOR,,
99,Line,,89,,,91,92,None,Arrow,,Users,,
100,Line,,89,,,92,90,None,Arrow,,Users,,
101,Line,,89,,,94,90,None,Arrow,,Users,,
102,Page,,,,,,,,,,Kontor User Acquisition,,
103,Block,Standard,102,,,,,,,,,,
104,Connector,Flowchart Shapes/Containers,102,,,,,,,,Kontor,,
105,MinimalTextBlock,Standard,102,,,,,,,,Horizon Suite,,
106,Block,Standard,102,,,,,,,,IaaS,,
107,Block,Standard,102,,,,,,,,Market,,
108,Block,Standard,102,,,,,,,,Wallet,,
109,Block,Standard,102,,,,,,,,,,
110,MinimalTextBlock,Standard,102,,,,,,,,Bitcoin and L2s,,
111,Block,Standard,102,,,,,,,,Ordinals,,
112,Block,Standard,102,,,,,,,,Counterparty,,
113,Block,Standard,102,,,,,,,,Bitcoin,,
114,Line,,102,,,109,103,None,Arrow,,Users,,
115,Line,,102,,,103,104,None,Arrow,,Users,,
116,Line,,102,,,109,104,None,Arrow,,KOR Airdrop,,
117,Line,,102,,,111,112,Equilateral Arrow,Equilateral Arrow,,,,
118,Line,,102,,,112,113,Equilateral Arrow,Equilateral Arrow,,,,
119,Page,,,,,,,,,,UL Stack,,
120,Connector,Flowchart Shapes/Containers,119,,,,,,,,BTC,,
121,Connector,Flowchart Shapes/Containers,119,,,,,,,,Colored Coins,,
122,Connector,Flowchart Shapes/Containers,119,,,,,,,,Counterparty Assets  Kontor Assets,,
123,Process,Flowchart Shapes/Containers,119,,,,,,,,Horizon Market Market Making,,
124,Process,Flowchart Shapes/Containers,119,,,,,,,,Horizon Wallet Atomic Swaps,,
125,Process,Flowchart Shapes/Containers,119,,,,,,,,Counterparty / Kontor Bitcoin Metaprotocol,,
126,Process,Flowchart Shapes/Containers,119,,,,,,,,Horizon API  IaaS,,
127,Block,Standard,119,,,,,,,,Unspendable Labs,,
128,Process,Flowchart Shapes/Containers,119,,,,,,,,DARTT Art Token Standard,,
129,Process,Flowchart Shapes/Containers,119,,,,,,,,Kontor Data Storage Network,,
130,DividerBlock,,119,,,,,,,,,,
131,Line,,119,,,122,121,Arrow,Arrow,,,,
132,Line,,119,,,120,122,Arrow,Arrow,,,,
133,Line,,119,,,121,120,Arrow,Arrow,,,,
134,Page,,,,,,,,,,Business,,
135,User Image,User Images,134,,,,,,,,,,
136,Block,Standard,134,,,,,,,,,,
137,MinimalTextBlock,Standard,134,,,,,,,,Horizon,,
138,Block,Standard,134,,,,,,,,,,
139,MinimalTextBlock,Standard,134,,,,,,,,IaaS,,
140,Block,Standard,134,,,,,,,,,,
141,MinimalTextBlock,Standard,134,,,,,,,,Market,,
142,Block,Standard,134,,,,,,,,,,
143,MinimalTextBlock,Standard,134,,,,,,,,Wallet,,
144,Block,Standard,134,,,,,,,,MagicEden,,
145,Block,Standard,134,,,,,,,,OpenSea,,
146,Block,Standard,134,,,,,,,,OpenSea,,
147,Block,Standard,134,,,,,,,,Xverse,,
148,Block,Standard,134,,,,,,,,Wintermute,,
149,Block,Standard,134,,,,,,,,Ardrive/Estuary,,
150,Block,Standard,134,,,,,,,,Blockcypher,,
151,Page,,,,,,,,,,Kontor Data Storage Network,,
152,Process,Flowchart Shapes/Containers,151,,,,,,,,Bitcoin Blockchain,,
153,Connector,Flowchart Shapes/Containers,151,,,,,,,,Storage Node,,
154,Connector,Flowchart Shapes/Containers,151,,,,,,,,Storage Node,,
155,Connector,Flowchart Shapes/Containers,151,,,,,,,,Storage Node,,
156,Connector,Flowchart Shapes/Containers,151,,,,,,,,User,,
157,Block,Standard,151,,,,,,,,Horizon Market,,
158,Block,Standard,151,,,,,,,,Kontor Data Storage Network,,
159,Line,,151,,,155,152,None,Arrow,,5. Post Bond,,
160,Line,,151,,,156,152,None,Arrow,,4. Publish Data Digest,,
161,Line,,151,,,156,155,None,Arrow,,3. Publish Data to Storage Network,,
162,Line,,151,,,156,157,None,Arrow,,Send BTC,,
163,Line,,151,,,157,156,None,Arrow,,2. Receive KOR,,
164,Line,,151,,,152,152,None,Arrow,,6. Generate Challenge from Block Hash,,
165,Line,,151,,,155,152,None,Arrow,,7. Publish Response,,
166,Page,,,,,,,,,,Kontor Data Storage Protocol,,
167,Process,Flowchart Shapes/Containers,166,,,,,,,,Bitcoin Blockchain,,
168,Connector,Flowchart Shapes/Containers,166,,,,,,,,Storage User,,
169,Block,Standard,166,,,,,,,,Storage Portal,,
170,Connector,Flowchart Shapes/Containers,166,,,,,,,,Storage Nodes,,
171,Connector,Flowchart Shapes/Containers,166,,,,,,,,Kontor Nodes,,
172,Line,,166,,,169,167,None,Arrow,,8. Broadcast Storage Agreement,,
173,Line,,166,,,167,167,None,Arrow,,10. Mine Block,,
174,Line,,166,,,170,167,None,Arrow,,13. Broadcast Storage Proof ,,
175,Line,,166,,,168,168,None,Arrow,,Generate File EC Codes,2. Generate File Tags,
176,Line,,166,,,168,169,None,Arrow,,3. Upload File to Portal,,
177,Line,,166,,,169,170,None,Arrow,,4 . Distribute File ,,
178,Line,,166,,,169,169,None,Arrow,,5. Generate Agreement,,
179,Line,,166,,,168,169,None,Arrow,,6. Sign Agreement  7. Pay Storage Fee,,
180,Line,,166,,,170,169,None,Arrow,,6. Sign Agreement 7. Escrow KOR,,
181,Line,,166,,,170,170,None,Arrow,,12. Generate Storage Proof,,
182,Line,,166,,,167,167,Arrow,None,,9. Confirm Storage Agreement,,
183,Line,,166,,,167,171,None,Arrow,,7. Process Storage Agreement,,
184,Line,,166,,,167,171,None,Arrow,,,,
185,Line,,166,,,171,171,None,Arrow,,11. Generate Storage Challenge,14. Validate Storage Proofs 15. Process Expired Challenges,
186,Page,,,,,,,,,,Kontor Node Architecture,,
187,Process,Flowchart Shapes/Containers,186,,,,,,,,,,
188,Database,Flowchart Shapes/Containers,186,,,,,,,,Storage DB,,
189,Database,Flowchart Shapes/Containers,186,,,,,,,,State DB,,
190,Connector,Flowchart Shapes/Containers,186,,,,,,,,Reactor,,
191,Process,Flowchart Shapes/Containers,186,,,,,,,,Contract Runner,,
